cell_id,ndvi_mean
-30.7500_-60.7500,0.5371797186400938
-30.7500_-61.0000,0.530084876905041
-30.7500_-61.2500,0.5109126611957796
-30.7500_-61.5000,0.5263250879249707
-30.7500_-61.7500,0.5462186400937866
-30.7500_-62.0000,0.5102486518171161
-30.7500_-62.2500,-0.04068593200468933
-30.7500_-62.5000,-0.0971989449003517
-30.7500_-62.7500,-0.09397338804220398
-30.7500_-63.0000,0.3876968347010551
-30.7500_-63.2500,0.4813227432590856
-30.7500_-63.5000,0.4588193434935522
-30.7500_-63.7500,0.42412579132473627
-30.7500_-64.0000,0.4184570926143024
-30.7500_-64.2500,0.47407655334114895
-30.7500_-64.5000,0.5097271981242673
-30.7500_-64.7500,0.5041239155920281
-30.7500_-65.0000,0.4859118405627198
-30.7500_-65.2500,0.49085908558030483
-30.7500_-65.5000,0.37721652989449
-30.7500_-65.7500,0.500103634232122
-30.7500_-66.0000,0.4032720984759672
-30.7500_-66.2500,0.4646246189917937
-30.7500_-66.5000,0.3769118405627198
-30.7500_-66.7500,0.333126143024619
-30.7500_-67.0000,0.3000901524032825
-30.7500_-67.2500,0.31956236811254396
-30.7500_-67.5000,0.3666508792497069
-30.7500_-67.7500,0.2793753810082063
-30.7500_-68.0000,0.10249320046893318
-31.0000_-56.2500,0.6719652989449004
-31.0000_-56.5000,0.6398661195779601
-31.0000_-56.7500,0.6330824150058617
-31.0000_-57.0000,0.6359245017584995
-31.0000_-57.2500,0.6680368112543963
-31.0000_-57.5000,0.6401847596717468
-31.0000_-57.7500,0.5175328253223916
-31.0000_-58.0000,0.698742203985932
-31.0000_-58.2500,0.6146992966002346
-31.0000_-58.5000,0.6392767878077373
-31.0000_-58.7500,0.6821560375146541
-31.0000_-59.0000,0.6443609613130129
-31.0000_-59.2500,0.6555854630715124
-31.0000_-59.5000,0.5567053927315357
-31.0000_-59.7500,0.679530715123095
-31.0000_-60.0000,0.5089512309495897
-31.0000_-60.2500,0.611506447831184
-31.0000_-60.5000,0.5744347010550998
-31.0000_-60.7500,0.5267419695193435
-31.0000_-61.0000,0.547659202813599
-31.0000_-61.2500,0.5100920281359906
-31.0000_-61.5000,0.5568987104337632
-31.0000_-61.7500,0.5532161781946073
-31.0000_-62.0000,0.48367596717467765
-31.0000_-62.2500,0.5052656506447831
-31.0000_-62.5000,0.47864314185228607
-31.0000_-62.7500,0.486267878077374
-31.0000_-63.0000,0.42879601406799533
-31.0000_-63.2500,0.4391811254396249
-31.0000_-63.5000,0.42295814771395074
-31.0000_-63.7500,0.43671887456037517
-31.0000_-64.0000,0.4208171160609613
-31.0000_-64.2500,0.5300994138335288
-31.0000_-64.5000,0.530008206330598
-31.0000_-64.7500,0.49360785463071516
-31.0000_-65.0000,0.5133730363423212
-31.0000_-65.2500,0.509683001172333
-31.0000_-65.5000,0.4598583821805393
-31.0000_-65.7500,0.4953162954279015
-31.0000_-66.0000,0.38359800703399766
-31.0000_-66.2500,0.3825260257913247
-31.0000_-66.5000,0.4372879249706917
-31.0000_-66.7500,0.38814630715123094
-31.0000_-67.0000,0.35590621336459555
-31.0000_-67.2500,0.38328511137162957
-31.0000_-67.5000,0.3458750293083236
-31.0000_-67.7500,0.10547338804220399
-31.0000_-68.0000,0.09206799531066824
-31.2500_-56.0000,0.6993760844079719
-31.2500_-56.2500,0.5940762016412662
-31.2500_-56.5000,0.6546370457209847
-31.2500_-56.7500,0.6412814771395077
-31.2500_-57.0000,0.6543310668229777
-31.2500_-57.2500,0.6381664712778429
-31.2500_-57.5000,0.6376866354044549
-31.2500_-57.7500,0.646799062133646
-31.2500_-58.0000,0.7183854630715124
-31.2500_-58.2500,0.7603706916764362
-31.2500_-58.5000,0.5893053927315358
-31.2500_-58.7500,0.6039668229777257
-31.2500_-59.0000,0.6193399765533412
-31.2500_-59.2500,0.5969568581477139
-31.2500_-59.5000,0.583578898007034
-31.2500_-59.7500,0.6113689331770222
-31.2500_-60.0000,0.5862440797186401
-31.2500_-60.2500,0.6312402110199297
-31.2500_-60.5000,0.5339663540445486
-31.2500_-60.7500,0.5676450175849942
